consumerName,password,email,point
iwkjbyxf,n7YF569u,tzuu.ygu@yahoo.co.jp,930
hyluqpzv,PBI4TNzt,aypw.xox@yahoo.co.jp,930
drbqytou,u9NG4eSb,qrij.pfq@yahoo.co.jp,560
mtdwlijw,ZaRhnoDM,skay.lbm@yahoo.co.jp,1000
mecoglot,j3bDToPz,huud.etw@yahoo.co.jp,410
wddwogos,TsDIwpRb,gbdl.bfj@yahoo.co.jp,490
homwbyvw,ODjyexDl,btsx.tmt@yahoo.co.jp,870
wlmyltlp,G7PFD6I0,wfip.xgs@yahoo.co.jp,940
clvsfhuy,Zv4fLZWR,rnbf.ptg@yahoo.co.jp,860
txatkhen,Pj6WRyKq,ducp.znw@yahoo.co.jp,690
lxgfjggf,zjBZiG0I,myad.vbx@yahoo.co.jp,630
yqoschox,ygI3Aq2G,awnm.oxb@yahoo.co.jp,870
lujuhfgg,vOwWeV3x,nurq.vxr@yahoo.co.jp,900
grkvjylu,DaHsIWbM,uorw.duq@yahoo.co.jp,450
nmcxzedn,CBRGX8bk,hkha.agu@yahoo.co.jp,700
qpugfnem,Lm9rktMh,wimq.kak@yahoo.co.jp,320
swryvmzd,h20r2pCq,mrgk.idn@yahoo.co.jp,860
ganpakmx,5iQNzO6A,oiwi.utu@yahoo.co.jp,510
opfyerdb,jmG8PCHc,loze.nqp@yahoo.co.jp,940
dxwymnfp,bKX8nytu,kuei.npm@yahoo.co.jp,510
stnnsymw,USzVIDh3,xiyc.fts@yahoo.co.jp,580
fvnztgku,oIlzoIki,btph.bnv@yahoo.co.jp,590
zngqhbrw,rSYkruIA,ocqb.hji@yahoo.co.jp,330
pavrlazo,pEFlZzdL,iuee.lzf@yahoo.co.jp,570
srrkriuo,vCahVBDZ,kywt.eia@yahoo.co.jp,830
bzoedonp,70vauO6C,mgjz.xtg@yahoo.co.jp,530
opkcvgvy,jlRm4Y8k,btrz.rrm@yahoo.co.jp,970
jrvrfrcv,u3XUFt2O,ipcy.bzo@yahoo.co.jp,320
xosajjql,u7tpwkHc,egsa.zth@yahoo.co.jp,460
fdmuaufq,oS09zUTm,pcwp.dio@yahoo.co.jp,380
upgfyftj,zxE6OXUG,pfwi.oao@yahoo.co.jp,710
namdcbwa,WJnN6EsA,snvh.rlr@yahoo.co.jp,760
nlknjvlw,soffBsiH,xxup.pls@yahoo.co.jp,350
etmgqcpo,pWzhualn,rfzn.gnz@yahoo.co.jp,600
bbxqzshd,EPaOnwwJ,umyv.jtc@yahoo.co.jp,840
fjzjjmuw,s4K6cqbm,czob.qur@yahoo.co.jp,680
mvhxlqaq,R3ME4GYu,wvmw.jxm@yahoo.co.jp,760
gkzbnjmz,ohsfFelu,jqji.tkj@yahoo.co.jp,570
kbettyun,Sl9fy0X8,cxcp.qkf@yahoo.co.jp,930
qcumgjrn,uS2Z2C9j,swsk.jqd@yahoo.co.jp,840
cscevmgz,9crgjWak,nzta.pqk@yahoo.co.jp,380
xzqeexld,J3koXB9x,bocu.npb@yahoo.co.jp,420
gloktqfh,wrjakW3E,kyib.hyc@yahoo.co.jp,380
vhhjdkqm,oiQHWi8f,hpzv.fpa@yahoo.co.jp,790
nqlthdvu,PxsFHrsi,lelq.waa@yahoo.co.jp,580
vsevjeej,0Cwauckv,xtpg.syw@yahoo.co.jp,690
tvcmngin,u8lqm7au,ktwk.ool@yahoo.co.jp,380
wietqlfy,oOcUbvsw,hrlu.ryx@yahoo.co.jp,830
edvcbxgl,OAOJKfjU,akvh.kcx@yahoo.co.jp,630
sbxvssxr,cArFq6Er,ngkb.otv@yahoo.co.jp,820
yoekpppn,V5eWlOsx,ahjq.kes@yahoo.co.jp,800
jejkivts,CFnTdkJM,shlb.xmq@yahoo.co.jp,390
kybfbufh,LCgpY0SW,mzxn.hpi@yahoo.co.jp,840
wnjihffp,do2zDadh,zewi.hhm@yahoo.co.jp,500
hyxstkgn,K5azJl9O,kmiq.ben@yahoo.co.jp,390
hqxwlkds,UMaMR49y,lhml.wtw@yahoo.co.jp,380
aibtzuvp,lNGhVNSr,loof.asy@yahoo.co.jp,310
bioysowu,QlWbpfLB,trtu.yvg@yahoo.co.jp,460
ytrasrrk,5bbiPckL,plhk.rjn@yahoo.co.jp,920
puhuhaiy,2TIOeIVQ,nyor.hvu@yahoo.co.jp,870
